zipcode_id,name,state_id
1,601,40
2,602,40
3,603,40
4,606,40
5,610,40
6,612,40
7,616,40
8,617,40
9,622,40
10,623,40
11,624,40
12,627,40
13,631,40
14,637,40
15,638,40
16,641,40
17,646,40
18,647,40
19,650,40
20,652,40
21,653,40
22,656,40
23,659,40
24,660,40
25,662,40
26,664,40
27,667,40
28,669,40
29,670,40
30,674,40
31,676,40
32,677,40
33,678,40
34,680,40
35,682,40
36,683,40
37,685,40
38,687,40
39,688,40
40,690,40
41,692,40
42,693,40
43,694,40
44,698,40
45,703,40
46,704,40
47,705,40
48,707,40
49,714,40
50,715,40
51,716,40
52,717,40
53,718,40
54,719,40
55,720,40
56,723,40
57,725,40
58,727,40
59,728,40
60,729,40
61,730,40
62,731,40
63,735,40
64,736,40
65,738,40
66,739,40
67,740,40
68,741,40
69,745,40
70,751,40
71,754,40
72,757,40
73,765,40
74,766,40
75,767,40
76,769,40
77,771,40
78,772,40
79,773,40
80,775,40
81,777,40
82,778,40
83,780,40
84,782,40
85,783,40
86,784,40
87,786,40
88,791,40
89,794,40
90,795,40
91,901,40
92,906,40
93,907,40
94,909,40
95,911,40
96,912,40
97,913,40
98,915,40
99,917,40
100,918,40
101,920,40
102,921,40
103,923,40
104,924,40
105,925,40
106,926,40
107,927,40
108,934,40
109,936,40
110,949,40
111,950,40
112,951,40
113,952,40
114,953,40
115,956,40
116,957,40
117,959,40
118,960,40
119,961,40
120,962,40
121,965,40
122,966,40
123,968,40
124,969,40
125,971,40
126,976,40
127,979,40
128,982,40
129,983,40
130,985,40
131,987,40
132,1001,20
133,1002,20
134,1003,20
135,1005,20
136,1007,20
137,1008,20
138,1009,20
139,1010,20
140,1011,20
141,1012,20
142,1013,20
143,1020,20
144,1022,20
145,1026,20
146,1027,20
147,1028,20
148,1029,20
149,1030,20
150,1031,20
151,1032,20
152,1033,20
153,1034,20
154,1035,20
155,1036,20
156,1037,20
157,1038,20
158,1039,20
159,1040,20
160,1050,20
161,1053,20
162,1054,20
163,1056,20
164,1057,20
165,1060,20
166,1062,20
167,1063,20
168,1066,20
169,1068,20
170,1069,20
171,1070,20
172,1071,20
173,1072,20
174,1073,20
175,1074,20
176,1075,20
177,1077,20
178,1079,20
179,1080,20
180,1081,20
181,1082,20
182,1083,20
183,1084,20
184,1085,20
185,1086,20
186,1088,20
187,1089,20
188,1092,20
189,1093,20
190,1094,20
191,1095,20
192,1096,20
193,1097,20
194,1098,20
195,1103,20
196,1104,20
197,1105,20
198,1106,20
199,1107,20
200,1108,20
201,1109,20
202,1118,20
203,1119,20
204,1128,20
205,1129,20
206,1151,20
207,1199,20
208,1201,20
209,1220,20
210,1222,20
211,1223,20
212,1224,20
213,1225,20
214,1226,20
215,1229,20
216,1230,20
217,1235,20
218,1236,20
219,1237,20
220,1238,20
221,1240,20
222,1242,20
223,1243,20
224,1244,20
225,1245,20
226,1247,20
227,1253,20
228,1254,20
229,1255,20
230,1256,20
231,1257,20
232,1258,20
233,1259,20
234,1260,20
235,1262,20
236,1264,20
237,1266,20
238,1267,20
239,1270,20
